LPS;OMV;AXXA;EROILOR;EROILOR;DECORA;TMUCB;GARA;TUNARI;FABRA;LPS;
07:35;07:37;07:41;07:50;07:50;07:56;07:58;08:00;08:02;08:04;08:05;
08:55;08:57;09:01;09:10;09:10;09:16;09:18;09:20;09:22;09:24;09:25;
10:15;10:17;10:21;10:30;10:30;10:36;10:38;10:40;10:42;10:44;10:45;
11:35;11:37;11:41;11:50;11:50;11:56;11:58;12:00;12:02;12:04;12:05;
