ACH;CATEDRALA;SPITAL;ACR;ROMTELECOM;UNION;MINULESCU;ARCULUI;FINANTE;VALCEA;METALURGIC;TUNARI;ARTILERIEI;CAO;PRYSMIAN1;PRYSMIAN2;PRYSMIAN2;PRYSMIAN1;LIDL;GARA;TUNARI;METALURGIC;FABRA;LPS;HELIOS;ACR;ROMTELECOM;FINANTE;13 DECEMBRIE;CATEDRALA;ACH;
06:00;06:03;06:06;06:07;06:08;06:10;06:11;06:12;06:13;06:15;06:17;06:19;06:21;06:22;06:25;06:28;07:20;07:23;07:26;07:30;07:31;07:36;07:38;07:40;07:42;07:44;07:45;07:47;07:49;07:55;07:58;
14:00;14:03;14:06;14:07;14:08;14:10;14:11;14:12;14:13;14:15;14:17;14:19;14:21;14:22;14:25;14:28;15:20;15:23;15:26;15:30;15:31;15:35;15:37;15:39;15:41;15:43;15:44;15:46;15:48;15:53;15:56;
22:00;22:03;22:06;22:07;22:08;22:10;22:11;22:12;22:13;22:15;22:17;22:19;22:21;22:22;22:25;22:28;23:20;23:23;23:26;23:28;23:29;23:32;23:34;23:36;23:38;23:41;23:42;23:44;23:45;23:52;23:55;
